name,ml_disk,ml_bul,chi2,chi2_red,ndof,n_points,v_max
CamB,0.1,0.1,404.9997672109142,57.857109601559166,7,9,20.1
D564-8,0.1,0.1,29.535085386491005,7.383771346622751,4,6,25.0
D631-7,0.1,0.1,187.9118506929982,13.422275049499872,14,16,58.5
DDO064,0.4599437619665103,0.1,3.244075262148424,0.2703396051790353,12,14,46.9
DDO154,0.1,0.1,28.750353917889992,2.875035391788999,10,12,48.2
DDO161,0.1,0.1,2320.489547881936,80.01688096144606,29,31,67.5
DDO168,0.1,0.1,122.25184827293222,15.281481034116528,8,10,55.0
DDO170,0.1,0.1,513.7655094939647,85.62758491566079,6,8,62.2
ESO079-G014,0.841398861453845,0.1,44.344895579695,3.411145813822692,13,15,178.0
ESO116-G012,1.0739078085923761,0.1,68.44917575850477,5.265321212192674,13,15,112.0
ESO444-G084,4.4860472465750245,0.1,55.18024842850227,11.036049685700453,5,7,63.1
ESO563-G021,1.0888065295476794,0.1,502.7256978741618,17.954489209791493,28,30,321.0
F561-1,0.1,0.1,62.44233652641264,15.61058413160316,4,6,50.4
F563-1,2.1682522568440494,0.1,16.160819363157774,1.0773879575438516,15,17,112.5
F563-V1,0.1,0.1,108.5004545796429,27.125113644910726,4,6,29.5
F563-V2,2.890203831610564,0.1,3.2480783411681693,0.40600979264602116,8,10,118.0
F565-V2,1.6289433953779437,0.1,2.546096451987527,0.5092192903975054,5,7,83.1
F567-2,0.14722153364725904,0.1,7.620263141658216,2.5400877138860722,3,5,52.2
F568-1,2.620382902117033,0.1,8.503695663702775,0.8503695663702775,10,12,142.0
F568-3,0.506922001685523,0.1,46.864463519664376,2.9290289699790235,16,18,120.0
F568-V1,2.6943619929778735,0.1,4.137280339818058,0.3182523338321583,13,15,118.0
F571-8,0.6075220683477154,0.1,492.4864117490135,44.77149197718305,11,13,144.0
F571-V1,0.39420058122640306,0.1,1.2984156156597486,0.25968312313194974,5,7,84.3
F574-1,0.8636177272972058,0.1,25.420578059040327,2.1183815049200274,12,14,99.7
F574-2,0.1,0.1,54.47259875997236,18.157532919990786,3,5,40.0
F579-V1,1.0565745706198508,0.1,32.124411188274436,2.6770342656895365,12,14,114.0
F583-1,1.0878029258638577,0.1,43.77134722098707,1.9031020530863942,23,25,86.9
F583-4,0.4099477133791246,0.1,1.2835075225608885,0.12835075225608886,10,12,69.9
IC2574,0.1,0.1,540.7794900071632,16.89935906272385,32,34,67.5
IC4202,1.0640324815743563,0.5042947731122697,950.4244405688828,31.680814685629425,30,32,250.0
KK98-251,0.1,0.1,227.97653337077372,17.53665641313644,13,15,34.6
NGC0024,1.6284265882756725,0.1,16.85176134667003,0.6241393091359271,27,29,110.0
NGC0055,0.1,0.1,54.359829264306235,2.861043645489802,19,21,87.4
NGC0100,0.5229272227831453,0.1,27.990145429665127,1.4731655489297435,19,21,91.2
NGC0247,0.6928136882757088,0.1,86.52566619767909,3.605236091569962,24,26,108.0
NGC0289,0.48090109538220777,0.1,192.79534245586441,7.415205479071708,26,28,194.0
NGC0300,0.8421282535270511,0.1,31.3582253278698,1.3634011012117304,23,25,97.0
NGC0801,0.42067092634668507,0.1,390.0690512227752,35.46082283843411,11,13,238.0
NGC0891,0.59092803264944,0.3250323668075946,301.92362964497426,18.87022685281089,16,18,234.0
NGC1003,0.4290875085360127,0.1,137.15930245516705,4.034097131034325,34,36,115.0
NGC1090,0.4196659233666818,0.1,170.5950001032777,7.754318186512623,22,24,176.0
NGC1705,2.240231493834319,0.1,2.9599684653515324,0.24666403877929435,12,14,73.2
NGC2366,0.1,0.1,112.80366281037193,4.700152617098831,24,26,53.7
NGC2403,0.9156103492471886,0.1,1686.3734419488414,23.751738618997766,71,73,136.0
NGC2683,0.6967909718617321,0.6230988432287099,29.273677011176584,3.2526307790196203,9,11,212.0
NGC2841,1.641627011183599,0.6790048141972065,167.76940785439905,3.495195996966647,48,50,323.0
NGC2903,0.6603572532878182,0.1,1026.1700763663903,32.067814886449696,32,34,216.0
NGC2915,2.307601971747986,0.1,87.44067513739905,3.122881254907109,28,30,86.5
NGC2955,0.4816435093238316,0.7848206810783452,88.51128272508309,4.023240123867414,22,24,276.0
NGC2976,0.5440796395933072,0.1,41.143747144103294,1.6457498857641317,25,27,88.7
NGC2998,0.5739179760439626,0.1,85.81393800253109,7.80126709113919,11,13,214.0
NGC3109,0.636005267171311,0.1,160.0592954972772,6.959099804229443,23,25,67.3
NGC3198,0.6130643153838402,0.1,458.5383645201546,11.183862549272062,41,43,157.0
NGC3521,0.60710533966403,0.1,38.68434880337184,0.9919063795736369,39,41,220.0
NGC3726,0.39407440658203846,0.1,31.68919918841686,3.168919918841686,10,12,169.0
NGC3741,0.4822185293765949,0.1,35.81251412847363,1.8848691646565068,19,21,51.6
NGC3769,0.450984728445635,0.1,10.399833907287459,1.039983390728746,10,12,126.0
NGC3877,0.5285929821727282,0.1,88.87562989949043,8.079602718135494,11,13,171.0
NGC3893,0.6809500260003508,0.1,22.68169861634685,2.8352123270433562,8,10,194.0
NGC3917,0.7007462074403459,0.1,49.19108089344876,3.2794053928965843,15,17,138.0
NGC3949,0.5452634492896888,0.1,3.1530652821718217,0.6306130564343644,5,7,169.0
NGC3953,0.6848093680048272,0.1,12.86469155010115,2.1441152583501917,6,8,224.0
NGC3972,0.7977332952681081,0.1,12.428101553290693,1.5535126941613366,8,10,134.0
NGC3992,0.8559775075632342,0.1,29.41883483577793,4.202690690825419,7,9,272.0
NGC4010,0.534656565799683,0.1,24.11692738392875,2.4116927383928752,10,12,129.0
